id,name,office_code,district,district_office,road_addr,founding,is_branch,lat,lng,level,is_active,source
B000001926,경기초등학교,7010000,서대문구,서울특별시서부교육지원청,서울특별시 서대문구 경기대로9길 10,사립,false,37.56511029,126.9628606,elem,true,data.go.kr
B000002387,경복초등학교,7010000,광진구,서울특별시성동광진교육지원청,서울특별시 광진구 천호대로130길 58,사립,false,37.54982961,127.0867934,elem,true,data.go.kr
B000001856,경희초등학교,7010000,동대문구,서울특별시동부교육지원청,서울특별시 동대문구 경희대로 26,사립,false,37.59394914,127.054891,elem,true,data.go.kr
B000002274,계성초등학교,7010000,서초구,서울특별시강남서초교육지원청,서울특별시 서초구 신반포로19길 23,사립,false,37.5049159,126.9968257,elem,true,data.go.kr
B000002416,광운초등학교,7010000,성북구,서울특별시성북강북교육지원청,서울특별시 성북구 한천로 694,사립,false,37.61865113,127.0551517,elem,true,data.go.kr
B000001880,금성초등학교,7010000,중랑구,서울특별시동부교육지원청,서울특별시 중랑구 신내로21길 55,사립,false,37.61531513,127.0898585,elem,true,data.go.kr
B000002415,대광초등학교,7010000,성북구,서울특별시성북강북교육지원청,서울특별시 성북구 안암로 5,사립,false,37.57915104,127.0234459,elem,true,data.go.kr
B000001993,동광초등학교,7010000,금천구,서울특별시남부교육지원청,서울특별시 금천구 탑골로10길 45,사립,false,37.45199688,126.9158199,elem,true,data.go.kr
B000002038,동북초등학교,7010000,도봉구,서울특별시북부교육지원청,서울특별시 도봉구 시루봉로 53,사립,false,37.65634868,127.0268766,elem,true,data.go.kr
B000002107,동산초등학교,7010000,중구,서울특별시중부교육지원청,서울특별시 중구 매봉18길 109,사립,false,37.55620463,127.0167254,elem,true,data.go.kr
B000002105,리라초등학교,7010000,중구,서울특별시중부교육지원청,서울특별시 중구 소파로2길 7,사립,false,37.5578197,126.9879121,elem,true,data.go.kr
B000002417,매원초등학교,7010000,성북구,서울특별시성북강북교육지원청,서울특별시 성북구 북악산로 870,사립,false,37.59767468,127.0191869,elem,true,data.go.kr
B000001929,명지초등학교,7010000,서대문구,서울특별시서부교육지원청,서울특별시 서대문구 명지2길 32-20,사립,false,37.58362994,126.9282315,elem,true,data.go.kr
B000002095,상명대학교사범대학부속초등학교,7010000,종로구,서울특별시중부교육지원청,서울특별시 종로구 홍지문2길 1,사립,false,37.60044056,126.9567149,elem,true,data.go.kr
B000002081,상명초등학교,7010000,노원구,서울특별시북부교육지원청,서울특별시 노원구 덕릉로 541,사립,false,37.64872348,127.0669678,elem,true,data.go.kr
B000002228,서울가곡초등학교,7010000,강서구,서울특별시강서양천교육지원청,서울특별시 강서구 공항대로36길 74,공립,false,37.55570761,126.8361031,elem,true,data.go.kr
B000002139,서울가동초등학교,7010000,송파구,서울특별시강동송파교육지원청,서울특별시 송파구 중대로20길 47,공립,false,37.49741227,127.1300159,elem,true,data.go.kr
B000002124,서울가락초등학교,7010000,송파구,서울특별시강동송파교육지원청,서울특별시 송파구 송파대로37길 45,공립,false,37.50002115,127.1076425,elem,true,data.go.kr
B000001982,서울가산초등학교,7010000,금천구,서울특별시남부교육지원청,서울특별시 금천구 남부순환로 1304-11,공립,false,37.47816515,126.8963297,elem,true,data.go.kr
B000002233,서울가양초등학교,7010000,강서구,서울특별시강서양천교육지원청,서울특별시 강서구 허준로 186,공립,false,37.56221719,126.8585216,elem,true,data.go.kr
